_id,lat,lng,main_damage,grouped_damage,confidence_level,geo_result,occupancy,address,parsed_address,address_dict,country,parish,town,suburb,street,place
"BLDG28144","15.30561711","-61.38656289","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28145","15.30546458","-61.38655174","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28146","15.30512608","-61.38644963","Moderately Damaged","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28147","15.30529089","-61.38650688","Negligible to slight damage","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28148","15.30536882","-61.38653708","Negligible to slight damage","Damaged Buildings","nan","15.3058416,-61.386522,residential","residential","Jolly Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Jolly Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Jolly Lane","None"
"BLDG28149","15.30576495","-61.38716846","Moderately Damaged","Damaged Buildings","nan","15.30595255,-61.3872143,yes","yes","T.C. Sunbeam Pre-School, Charles Avenue, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","T.C. Sunbeam Pre-School,Charles Avenue,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Charles Avenue","T.C. Sunbeam Pre-School"
"BLDG28150","15.30541819","-61.38716496","Highly Damaged","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28151","15.30533428","-61.3871348","Negligible to slight damage","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28152","15.30508876","-61.38707817","Negligible to slight damage","Damaged Buildings","nan","15.3064471,-61.3872116,residential","residential","Bowers Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Bowers Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Bowers Lane","None"
"BLDG28153","15.30550059","-61.38698570000001","Negligible to slight damage","Damaged Buildings","nan","15.3061929,-61.3868675,residential","residential","Benjamin Lane, Goodwill, Roseau, Saint George Parish, 00109-800, Dominica","Benjamin Lane,Goodwill,Roseau,Saint George Parish,Dominica","[object BSON]","Dominica","Saint George Parish","Roseau","Goodwill","Benjamin Lane","None"
