lid,latitude,longitude,population_2015,population_2020,abs_increase,perc_increase
LOC00313,15.23597222,-61.33541667,3.813613053,3.689797482,-0.123815571,0.97
LOC00314,15.23597222,-61.33513889,3.813613053,3.689797482,-0.123815571,0.97
LOC00315,15.23597222,-61.33430556,3.813613053,3.689797482,-0.123815571,0.97
LOC00316,15.23597222,-61.33347222,3.813613053,3.689797482,-0.123815571,0.97
LOC00317,15.23597222,-61.33291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00318,15.23597222,-61.33236111,3.813613053,3.689797482,-0.123815571,0.97
LOC00319,15.23597222,-61.33208333,3.813613053,3.689797482,-0.123815571,0.97
LOC00320,15.23597222,-61.33180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00321,15.23597222,-61.33152778,3.813613053,3.689797482,-0.123815571,0.97
LOC00322,15.23597222,-61.33097222,3.813613053,3.689797482,-0.123815571,0.97
LOC00323,15.23597222,-61.33069444,3.813613053,3.689797482,-0.123815571,0.97
LOC00324,15.23597222,-61.33041667,3.813613053,3.689797482,-0.123815571,0.97
LOC00325,15.23597222,-61.32319444,3.813613053,3.689797482,-0.123815571,0.97
LOC00326,15.23597222,-61.32291667,3.813613053,3.689797482,-0.123815571,0.97
LOC00327,15.23597222,-61.32263889,3.813613053,3.689797482,-0.123815571,0.97
LOC00328,15.23597222,-61.32180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00329,15.23625,-61.35680556,7.53397121,7.568222297,0.034251087,1.00
LOC00330,15.23625,-61.35486111,7.53397121,7.568222297,0.034251087,1.00
LOC00331,15.23625,-61.34236111,7.53397121,7.568222297,0.034251087,1.00
LOC00332,15.23625,-61.34208333,3.813613053,3.689797482,-0.123815571,0.97
LOC00333,15.23625,-61.34180556,3.813613053,3.689797482,-0.123815571,0.97
LOC00334,15.23625,-61.34152778,3.813613053,3.689797482,-0.123815571,0.97
LOC00335,15.23625,-61.34097222,3.813613053,3.689797482,-0.123815571,0.97
